"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y0-number-post-01-v1","Post-Test","AC9MFN01","Choose the number.","Selected response","Easy","Recall","numeral-quantity-disconnect","7","","","","",""
"y0-number-post-02-v1","Post-Test","AC9MFN02","How many stars?","Constructed response","Easy","Recall","subitising-vs-counting","4","","","","",""
"y0-number-post-03-v1","Post-Test","AC9MFN03","How many robots?","Constructed response","Easy","Understanding","counting-one-to-one","13","","","","",""
"y0-number-post-04-v1","Post-Test","AC9MFN04","The whole is 7. One part is 3. What is the missing part?","Constructed response","Easy","Understanding","part-whole-conservation","4","","","","",""
"y0-number-post-05-v1","Post-Test","AC9MFN05","There are 3 robots. 2 more arrive. How many now?","Constructed response","Easy","Understanding","operation-story-structure","5","","","","",""
"y0-number-post-06-v1","Post-Test","AC9MFN06","Share 6 equally into 2 boxes. How many in each box?","Constructed response","Easy","Understanding","equal-sharing-vs-grouping","3","","","","",""
"y0-number-post-07-v1","Post-Test","AC9MFA01","What comes next?","Selected response","Easy","Understanding","repeating-unit","star","","","","",""
"y0-number-post-08-v1","Post-Test","AC9MFN01","What number is missing?","Constructed response","Easy","Understanding","numeral-quantity-disconnect","13","","","","",""
"y0-number-post-09-v1","Post-Test","AC9MFN03","Which box has more?","Selected response","Moderate","Reasoning","cardinality-and-arrangement","They have the same","","","","",""
"y0-number-post-10-v1","Post-Test","AC9MFN04","The parts are 2 and 6. What is the whole?","Constructed response","Moderate","Application","part-whole-conservation","8","","","","",""
"y0-number-post-11-v1","Post-Test","AC9MFN05","There are 8 crystals. 3 roll away. How many stay?","Constructed response","Moderate","Application","operation-story-structure","5","","","","",""
"y0-number-post-12-v1","Post-Test","AC9MFN06","Make groups of 2. How many groups?","Constructed response","Moderate","Application","equal-sharing-vs-grouping","4","","","","",""
"y0-number-post-13-v1","Post-Test","AC9MFN01","Put the numbers in order. Smallest first.","Manipulated response","Moderate","Application","numeral-quantity-disconnect","5||8||12","","","","",""
"y0-number-post-14-v1","Post-Test","AC9MFN02","How many are in each box?","Selected response","Moderate","Application","subitising-vs-counting","5","","","","",""
"y0-number-post-15-v1","Post-Test","AC9MFN03","Which box has fewer?","Selected response","Moderate","Application","counting-one-to-one","Box B","","","","",""
"y0-number-post-16-v1","Post-Test","AC9MFN04","The whole is 10. The parts show 6 and 3. How many are missing?","Constructed response","Moderate","Application","part-whole-conservation","1","","","","",""
"y0-number-post-17-v1","Post-Test","AC9MFN05","Which story matches the picture?","Selected response","Challenging","Reasoning","operation-story-structure","6 crystals. 2 roll away.","","","","",""
"y0-number-post-18-v1","Post-Test","AC9MFN06","Is this sharing fair?","Selected response","Challenging","Reasoning","equal-sharing-vs-grouping","No","","","","",""
"y0-number-post-19-v1","Post-Test","AC9MFN04","There are 10 stars. You can see 4. How many are hidden?","Constructed response","Challenging","Transfer","part-whole-conservation","6","","","","",""
"y0-number-post-20-v1","Post-Test","AC9MFA01","Build the next 2 parts.","Manipulated response","Challenging","Reasoning","repeating-unit","star||crystal","","","","",""
