"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y2-starpath-pre-01-v1","Pre-Test","AC9M2SP01","Which shape has only curved edges?","Selected Response","Easy","Recall","straight-curved-boundary","Validated interaction","","","","",""
"y2-starpath-pre-02-v1","Pre-Test","AC9M2SP01","How many sides does this pentagon have?","Selected Response","Easy","Recall","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-pre-03-v1","Pre-Test","AC9M2SP01","Which shape has a pair of parallel sides?","Selected Response","Easy","Recall","parallel-opposite-confusion","Validated interaction","","","","",""
"y2-starpath-pre-04-v1","Pre-Test","AC9M2SP01","What is the same about these shapes?","Selected Response","Easy","Understanding","classification-single-rule","Validated interaction","","","","",""
"y2-starpath-pre-05-v1","Pre-Test","AC9M2SP01","Which statement describes this oval?","Selected Response","Moderate","Understanding","straight-curved-boundary","Validated interaction","","","","",""
"y2-starpath-pre-06-v1","Pre-Test","AC9M2SP01","What is different about these shapes?","Selected Response","Moderate","Understanding","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-pre-07-v1","Pre-Test","AC9M2SP01","Make a triangle with 3 straight sides.","Manipulated Response","Easy","Application","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-pre-08-v1","Pre-Test","AC9M2SP01","Join the missing side of this rectangle.","Manipulated Response","Moderate","Application","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-pre-09-v1","Pre-Test","AC9M2SP01","Make a closed shape with 5 straight sides.","Manipulated Response","Challenging","Reasoning","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-pre-10-v1","Pre-Test","AC9M2SP01","Make a four-sided shape with parallel top and bottom sides.","Manipulated Response","Challenging","Application","parallel-opposite-confusion","Validated interaction","","","","",""
"y2-starpath-pre-11-v1","Pre-Test","AC9M2SP02","Tap Planet Plaza on this map.","Manipulated Response","Easy","Understanding","map-symbol-representation","Validated interaction","","","","",""
"y2-starpath-pre-12-v1","Pre-Test","AC9M2SP02","Find Moon Maze on this map.","Manipulated Response","Easy","Understanding","map-symbol-representation","Validated interaction","","","","",""
"y2-starpath-pre-13-v1","Pre-Test","AC9M2SP02","Tap the landmark at the top right of the map.","Manipulated Response","Moderate","Understanding","map-relative-location","Validated interaction","","","","",""
"y2-starpath-pre-14-v1","Pre-Test","AC9M2SP02","Follow the directions to Flag Point.","Manipulated Response","Easy","Application","route-start-order","Validated interaction","","","","",""
"y2-starpath-pre-15-v1","Pre-Test","AC9M2SP02","Move the rover along the shown pathway.","Manipulated Response","Moderate","Application","route-start-order","Validated interaction","","","","",""
"y2-starpath-pre-16-v1","Pre-Test","AC9M2SP02","Give a pathway to Planet Plaza.","Manipulated Response","Moderate","Application","route-destination-only","Validated interaction","","","","",""
"y2-starpath-pre-17-v1","Pre-Test","AC9M2SP02","Create directions from Moon Maze to Flag Point.","Manipulated Response","Moderate","Application","route-start-order","Validated interaction","","","","",""
"y2-starpath-pre-18-v1","Pre-Test","AC9M2SP02","Visit the crystal, avoid the blocked square, then reach Flag Point.","Manipulated Response","Moderate","Reasoning","route-destination-only","Validated interaction","","","","",""
"y2-starpath-pre-19-v1","Pre-Test","AC9M2SP02","Tap the step that sends the rover away from the flag.","Manipulated Response","Challenging","Reasoning","route-start-order","Validated interaction","","","","",""
"y2-starpath-pre-20-v1","Pre-Test","AC9M2SP02","Reach the flag after visiting the moon and avoiding both hazards.","Manipulated Response","Moderate","Reasoning","route-destination-only, map-relative-location","Validated interaction","","","","",""
"y2-starpath-post-01-v1","Post-Test","AC9M2SP01","Which shape has straight sides and no curved edge?","Selected Response","Easy","Recall","straight-curved-boundary","Validated interaction","","","","",""
"y2-starpath-post-02-v1","Post-Test","AC9M2SP01","How many straight sides are on this hexagon?","Selected Response","Easy","Recall","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-post-03-v1","Post-Test","AC9M2SP01","Which shape has no parallel sides?","Selected Response","Moderate","Understanding","parallel-opposite-confusion","Validated interaction","","","","",""
"y2-starpath-post-04-v1","Post-Test","AC9M2SP01","What is the same about this pair?","Selected Response","Easy","Understanding","classification-single-rule","Validated interaction","","","","",""
"y2-starpath-post-05-v1","Post-Test","AC9M2SP01","Which description is true for the circle?","Selected Response","Moderate","Understanding","straight-curved-boundary","Validated interaction","","","","",""
"y2-starpath-post-06-v1","Post-Test","AC9M2SP01","What is different about this pair?","Selected Response","Moderate","Application","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-post-07-v1","Post-Test","AC9M2SP01","Construct a shape with 3 straight sides.","Manipulated Response","Moderate","Application","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-post-08-v1","Post-Test","AC9M2SP01","Repair this four-sided shape.","Manipulated Response","Moderate","Application","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-post-09-v1","Post-Test","AC9M2SP01","Construct a closed six-sided shape.","Manipulated Response","Challenging","Reasoning","shape-feature-count","Validated interaction","","","","",""
"y2-starpath-post-10-v1","Post-Test","AC9M2SP01","Construct a quadrilateral with two pairs of parallel sides.","Manipulated Response","Challenging","Reasoning","parallel-opposite-confusion","Validated interaction","","","","",""
"y2-starpath-post-11-v1","Post-Test","AC9M2SP02","Tap Crystal Caves on the unfamiliar map.","Manipulated Response","Easy","Understanding","map-symbol-representation","Validated interaction","","","","",""
"y2-starpath-post-12-v1","Post-Test","AC9M2SP02","Find Constellation Crossing on this map.","Manipulated Response","Easy","Understanding","map-symbol-representation","Validated interaction","","","","",""
"y2-starpath-post-13-v1","Post-Test","AC9M2SP02","Tap the landmark directly above Moon Maze.","Manipulated Response","Moderate","Application","map-relative-location","Validated interaction","","","","",""
"y2-starpath-post-14-v1","Post-Test","AC9M2SP02","Carry out the ordered pathway to the flag.","Manipulated Response","Easy","Application","route-start-order","Validated interaction","","","","",""
"y2-starpath-post-15-v1","Post-Test","AC9M2SP02","Follow every move from the marked start.","Manipulated Response","Moderate","Application","route-start-order","Validated interaction","","","","",""
"y2-starpath-post-16-v1","Post-Test","AC9M2SP02","Record a pathway from Rocket Base to Moon Maze.","Manipulated Response","Moderate","Application","route-destination-only","Validated interaction","","","","",""
"y2-starpath-post-17-v1","Post-Test","AC9M2SP02","Plan directions from Planet Plaza to Constellation Crossing.","Manipulated Response","Moderate","Reasoning","route-start-order","Validated interaction","","","","",""
"y2-starpath-post-18-v1","Post-Test","AC9M2SP02","Visit the satellite, avoid the hazard, and finish at the flag.","Manipulated Response","Challenging","Reasoning","route-destination-only","Validated interaction","","","","",""
"y2-starpath-post-19-v1","Post-Test","AC9M2SP02","Find the move that breaks this pathway.","Manipulated Response","Challenging","Reasoning","route-start-order","Validated interaction","","","","",""
"y2-starpath-post-20-v1","Post-Test","AC9M2SP02","Design a pathway that visits the star, avoids the hazards, and reaches the flag.","Manipulated Response","Challenging","Transfer","route-destination-only, map-relative-location","Validated interaction","","","","",""
