"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y0-measurement-post-01-v2","Post-Test","AC9MFM01","We want to find which ribbon is longer. What attribute are we comparing?","Selected response","Easy","Recall","attribute-confusion","Length","","","","",""
"y0-measurement-post-02-v2","Post-Test","AC9MFM01","Two strips start at the same line. Strip 2 reaches farther than Strip 1. Which strip is longer?","Selected response","Easy","Understanding","visual-position-length","Strip 2","","","","",""
"y0-measurement-post-03-v2","Post-Test","AC9MFM02","Enter the number of days in one week.","Constructed response","Easy","Recall","routine-sequence","7","","","","",""
"y0-measurement-post-04-v2","Post-Test","AC9MFM01","A balance tips down on the side holding Object 1. Which object is heavier?","Selected response","Easy","Understanding","attribute-confusion","Object 1","","","","",""
"y0-measurement-post-05-v2","Post-Test","AC9MFM01","Container 1 fills Container 2 and still has water left. Which container holds more?","Selected response","Easy","Understanding","attribute-confusion","Container 1","","","","",""
"y0-measurement-post-06-v2","Post-Test","AC9MFM02","When do people usually eat breakfast?","Selected response","Easy","Understanding","day-part-sequence","Morning","","","","",""
"y0-measurement-post-07-v2","Post-Test","AC9MFM01","Which usually takes longer?","Selected response","Easy","Understanding","duration-comparison-evidence","Listening to a whole story","","","","",""
"y0-measurement-post-08-v2","Post-Test","AC9MFM01","Lines 1 and 2 start together. Line 2 reaches farther. Enter the label number of the longer line.","Constructed response","Easy","Understanding","visual-position-length","2","","","","",""
"y0-measurement-post-09-v2","Post-Test","AC9MFM02","Which day comes after Friday?","Selected response","Moderate","Understanding","routine-sequence","Saturday","","","","",""
"y0-measurement-post-10-v2","Post-Test","AC9MFM01","A balance holds Object 1 and Object 2. The side with Object 1 is lower. Enter the label number of the heavier object.","Constructed response","Moderate","Application","attribute-confusion","1","","","","",""
"y0-measurement-post-11-v2","Post-Test","AC9MFM01","Container 2 fills Container 1 and has some water left. Enter the label number of the container that holds more.","Constructed response","Moderate","Application","attribute-confusion","2","","","","",""
"y0-measurement-post-12-v2","Post-Test","AC9MFM02","Count Monday as day 1 and Tuesday as day 2. Enter the day number for Wednesday.","Constructed response","Moderate","Application","routine-sequence","3","","","","",""
"y0-measurement-post-13-v2","Post-Test","AC9MFM01","Event 1 is one jump. Event 2 is eating lunch. Enter the label number of the event that usually takes longer.","Constructed response","Moderate","Application","duration-comparison-evidence","2","","","","",""
"y0-measurement-post-14-v2","Post-Test","AC9MFM01","Ribbon 1 and Ribbon 2 are moved to the same start line. Ribbon 1 then reaches farther. Enter the label number of the longer ribbon.","Constructed response","Moderate","Application","visual-position-length","1","","","","",""
"y0-measurement-post-15-v2","Post-Test","AC9MFM02","Use this order: morning, lunchtime, afternoon, night time. Enter the position number of lunchtime.","Constructed response","Moderate","Application","day-part-sequence","2","","","","",""
"y0-measurement-post-16-v2","Post-Test","AC9MFM01","A large empty box is Object 1. A small full bag is Object 2. A balance tips down under Object 2. Enter the label number of the heavier object.","Constructed response","Moderate","Application","attribute-confusion","2","","","","",""
"y0-measurement-post-17-v2","Post-Test","AC9MFM01","A short wide container fills a tall thin container and has water left. Why does the short container hold more?","Selected response","Challenging","Reasoning","attribute-confusion","The pouring test gives direct evidence","","","","",""
"y0-measurement-post-18-v2","Post-Test","AC9MFM02","Today is Tuesday. Which statement is correct?","Selected response","Challenging","Reasoning","routine-sequence","Tomorrow is Wednesday","","","","",""
"y0-measurement-post-19-v2","Post-Test","AC9MFM01","Sam likes jumping more than story time. Story time lasts much longer. Which event has the greater duration?","Selected response","Challenging","Reasoning","duration-comparison-evidence","Story time, because it lasts longer","","","","",""
"y0-measurement-post-20-v2","Post-Test","AC9MFM01","Container 1 fills Container 2 with some left. Container 2 fills Container 3 with some left. Enter the label number of the container that holds the most.","Constructed response","Very Challenging","Transfer","attribute-confusion","1","","","","",""
