"level","week","lesson_origin","question","response_type","answer","visual","read_aloud"
"3","1","1","What Changes?: what number replaces the question mark?","typed_response","3","pattern_sequence_strip","What Changes?: what number replaces the question mark? Type the missing value in the question mark."
"3","1","1","What Changes?: what number replaces the question mark?","typed_response","24","pattern_sequence_strip","What Changes?: what number replaces the question mark? Type the missing value in the question mark."
"3","1","1","What Changes?: what number replaces the question mark?","typed_response","5","pattern_sequence_strip","What Changes?: what number replaces the question mark? Type the missing value in the question mark."
"3","1","1","What Changes?: what number replaces the question mark?","typed_response","40","pattern_sequence_strip","What Changes?: what number replaces the question mark? Type the missing value in the question mark."
"3","1","1","What Changes?: what number replaces the question mark?","typed_response","7","pattern_sequence_strip","What Changes?: what number replaces the question mark? Type the missing value in the question mark."
"3","1","2","Double or Halve: what number replaces the question mark?","typed_response","8","pattern_sequence_strip","Double or Halve: what number replaces the question mark? Type the missing value in the question mark."
"3","1","2","Double or Halve: what number replaces the question mark?","typed_response","8","pattern_sequence_strip","Double or Halve: what number replaces the question mark? Type the missing value in the question mark."
"3","1","2","Double or Halve: what number replaces the question mark?","typed_response","16","pattern_sequence_strip","Double or Halve: what number replaces the question mark? Type the missing value in the question mark."
"3","1","2","Double or Halve: what number replaces the question mark?","typed_response","12","pattern_sequence_strip","Double or Halve: what number replaces the question mark? Type the missing value in the question mark."
"3","1","2","Double or Halve: what number replaces the question mark?","typed_response","24","pattern_sequence_strip","Double or Halve: what number replaces the question mark? Type the missing value in the question mark."
"3","1","3","Find the Broken Step: what number replaces the question mark?","typed_response","3","pattern_sequence_strip","Find the Broken Step: what number replaces the question mark? Type the missing value in the question mark."
"3","1","3","Find the Broken Step: what number replaces the question mark?","typed_response","24","pattern_sequence_strip","Find the Broken Step: what number replaces the question mark? Type the missing value in the question mark."
"3","1","3","Find the Broken Step: what number replaces the question mark?","typed_response","5","pattern_sequence_strip","Find the Broken Step: what number replaces the question mark? Type the missing value in the question mark."
"3","1","3","Find the Broken Step: what number replaces the question mark?","typed_response","40","pattern_sequence_strip","Find the Broken Step: what number replaces the question mark? Type the missing value in the question mark."
"3","1","3","Find the Broken Step: what number replaces the question mark?","typed_response","7","pattern_sequence_strip","Find the Broken Step: what number replaces the question mark? Type the missing value in the question mark."
"3","2","1","Continue the Sequence: what number replaces the question mark?","typed_response","3","pattern_sequence_strip","Continue the Sequence: what number replaces the question mark? Type the missing value in the question mark."
"3","2","1","Continue the Sequence: what number replaces the question mark?","typed_response","24","pattern_sequence_strip","Continue the Sequence: what number replaces the question mark? Type the missing value in the question mark."
"3","2","1","Continue the Sequence: what number replaces the question mark?","typed_response","5","pattern_sequence_strip","Continue the Sequence: what number replaces the question mark? Type the missing value in the question mark."
"3","2","1","Continue the Sequence: what number replaces the question mark?","typed_response","40","pattern_sequence_strip","Continue the Sequence: what number replaces the question mark? Type the missing value in the question mark."
"3","2","1","Continue the Sequence: what number replaces the question mark?","typed_response","7","pattern_sequence_strip","Continue the Sequence: what number replaces the question mark? Type the missing value in the question mark."
"3","2","2","Missing Terms: what number replaces the question mark?","typed_response","8","pattern_sequence_strip","Missing Terms: what number replaces the question mark? Type the missing value in the question mark."
"3","2","2","Missing Terms: what number replaces the question mark?","typed_response","8","pattern_sequence_strip","Missing Terms: what number replaces the question mark? Type the missing value in the question mark."
"3","2","2","Missing Terms: what number replaces the question mark?","typed_response","16","pattern_sequence_strip","Missing Terms: what number replaces the question mark? Type the missing value in the question mark."
"3","2","2","Missing Terms: what number replaces the question mark?","typed_response","12","pattern_sequence_strip","Missing Terms: what number replaces the question mark? Type the missing value in the question mark."
"3","2","2","Missing Terms: what number replaces the question mark?","typed_response","24","pattern_sequence_strip","Missing Terms: what number replaces the question mark? Type the missing value in the question mark."
"3","2","3","Create a Pattern: what number replaces the question mark?","typed_response","3","pattern_sequence_strip","Create a Pattern: what number replaces the question mark? Type the missing value in the question mark."
"3","2","3","Create a Pattern: what number replaces the question mark?","typed_response","24","pattern_sequence_strip","Create a Pattern: what number replaces the question mark? Type the missing value in the question mark."
"3","2","3","Create a Pattern: what number replaces the question mark?","typed_response","5","pattern_sequence_strip","Create a Pattern: what number replaces the question mark? Type the missing value in the question mark."
"3","2","3","Create a Pattern: what number replaces the question mark?","typed_response","40","pattern_sequence_strip","Create a Pattern: what number replaces the question mark? Type the missing value in the question mark."
"3","2","3","Create a Pattern: what number replaces the question mark?","typed_response","7","pattern_sequence_strip","Create a Pattern: what number replaces the question mark? Type the missing value in the question mark."
"3","3","1","Run the input through the rule. What is the output?","typed_response","16","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","1","Run the input through the rule. What is the output?","typed_response","6","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","1","Run the input through the rule. What is the output?","typed_response","14","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","1","Run the input through the rule. What is the output?","typed_response","22","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","1","Run the input through the rule. What is the output?","typed_response","9","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","2","Which rule matches every input and output?","multiple_choice","− 3","input_output_table","Which rule matches every input and output? Options: − 3, + 4, × 2."
"3","3","2","Which rule matches every input and output?","multiple_choice","+ 4","input_output_table","Which rule matches every input and output? Options: × 2, + 4, − 3."
"3","3","2","Which rule matches every input and output?","multiple_choice","× 2","input_output_table","Which rule matches every input and output? Options: + 4, − 3, × 2."
"3","3","2","Which rule matches every input and output?","multiple_choice","− 3","input_output_table","Which rule matches every input and output? Options: − 3, + 4, × 2."
"3","3","2","Which rule matches every input and output?","multiple_choice","+ 4","input_output_table","Which rule matches every input and output? Options: × 2, + 4, − 3."
"3","3","3","Run the input through the rule. What is the output?","typed_response","10","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","3","Run the input through the rule. What is the output?","typed_response","14","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","3","Run the input through the rule. What is the output?","typed_response","5","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","3","Run the input through the rule. What is the output?","typed_response","13","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","3","3","Run the input through the rule. What is the output?","typed_response","20","function_machine_card","Run the input through the rule. What is the output? Type the missing value in the question mark."
"3","4","1","Use subtraction to undo the addition. Find the missing addend.","typed_response","48","inverse_step_card","Use subtraction to undo the addition. Find the missing addend. Type the missing value in the question mark."
"3","4","1","Use subtraction to undo the addition. Find the missing addend.","typed_response","48","inverse_step_card","Use subtraction to undo the addition. Find the missing addend. Type the missing value in the question mark."
"3","4","1","Use subtraction to undo the addition. Find the missing addend.","typed_response","48","inverse_step_card","Use subtraction to undo the addition. Find the missing addend. Type the missing value in the question mark."
"3","4","1","Use subtraction to undo the addition. Find the missing addend.","typed_response","48","inverse_step_card","Use subtraction to undo the addition. Find the missing addend. Type the missing value in the question mark."
"3","4","1","Use subtraction to undo the addition. Find the missing addend.","typed_response","48","inverse_step_card","Use subtraction to undo the addition. Find the missing addend. Type the missing value in the question mark."
"3","4","2","Use the inverse relationship. What number makes the equation true?","typed_response","7","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","2","Use the inverse relationship. What number makes the equation true?","typed_response","8","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","2","Use the inverse relationship. What number makes the equation true?","typed_response","2","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","2","Use the inverse relationship. What number makes the equation true?","typed_response","3","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","2","Use the inverse relationship. What number makes the equation true?","typed_response","4","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","3","Use the inverse relationship. What number makes the equation true?","typed_response","5","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","3","Use the inverse relationship. What number makes the equation true?","typed_response","6","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","3","Use the inverse relationship. What number makes the equation true?","typed_response","7","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","3","Use the inverse relationship. What number makes the equation true?","typed_response","8","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","4","3","Use the inverse relationship. What number makes the equation true?","typed_response","2","inverse_step_card","Use the inverse relationship. What number makes the equation true? Type the missing value in the question mark."
"3","5","1","Keep both sides equal. What number replaces the question mark?","typed_response","32","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","1","Keep both sides equal. What number replaces the question mark?","typed_response","33","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","1","Keep both sides equal. What number replaces the question mark?","typed_response","23","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","1","Keep both sides equal. What number replaces the question mark?","typed_response","24","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","1","Keep both sides equal. What number replaces the question mark?","typed_response","25","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","2","Keep both sides equal. What number replaces the question mark?","typed_response","26","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","2","Keep both sides equal. What number replaces the question mark?","typed_response","27","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","2","Keep both sides equal. What number replaces the question mark?","typed_response","28","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","2","Keep both sides equal. What number replaces the question mark?","typed_response","29","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","2","Keep both sides equal. What number replaces the question mark?","typed_response","21","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","3","Keep both sides equal. What number replaces the question mark?","typed_response","22","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","3","Keep both sides equal. What number replaces the question mark?","typed_response","23","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","3","Keep both sides equal. What number replaces the question mark?","typed_response","24","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","3","Keep both sides equal. What number replaces the question mark?","typed_response","14","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","5","3","Keep both sides equal. What number replaces the question mark?","typed_response","15","balance_equation_card","Keep both sides equal. What number replaces the question mark? Type the missing value in the question mark."
"3","6","1","Find the unknown value.","typed_response","11","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","1","Find the unknown value.","typed_response","12","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","1","Find the unknown value.","typed_response","13","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","1","Find the unknown value.","typed_response","14","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","1","Find the unknown value.","typed_response","15","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","2","Find the unknown value.","typed_response","8","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","2","Find the unknown value.","typed_response","9","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","2","Find the unknown value.","typed_response","2","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","2","Find the unknown value.","typed_response","3","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","2","Find the unknown value.","typed_response","4","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","3","Find the unknown value.","typed_response","21","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
"3","6","3","Find the unknown value.","typed_response","22","unknown_tile_equation","Find the unknown value. Type the missing value in the question mark."
